date	close
9-Nov-10	4.62
2-Nov-10	4.62
26-Oct-10	4.62
19-Oct-10	6.07
12-Oct-10	6.07
5-Oct-10	8.08
28-Sep-10	8.08
21-Sep-10	8.08
14-Sep-10	8.08
7-Sep-10	8.08
31-Aug-10	8.08
24-Aug-10	8.08
17-Aug-10	8.08
10-Aug-10	8.08
3-Aug-10	8.08
27-Jul-10	8.08
20-Jul-10	8.08
13-Jul-10	8.08
6-Jul-10	8.08
29-Jun-10	8.08
22-Jun-10	8.08
15-Jun-10	8.08
8-Jun-10	8.08
1-Jun-10	8.08
25-May-10	8.08
18-May-10	8.58
11-May-10	9.13
4-May-10	9.89
27-Apr-10	9.89
20-Apr-10	9.89
13-Apr-10	9.89
6-Apr-10	9.89
30-Mar-10	9.91
23-Mar-10	9.91
16-Mar-10	10.14
9-Mar-10	10.91
2-Mar-10	10.72
23-Feb-10	10.72
16-Feb-10	10.98
9-Feb-10	10.98
2-Feb-10	18.75
26-Jan-10	19.41
19-Jan-10	63.2
12-Jan-10	72.94
5-Jan-10	72.75
29-Dec-09	72.16
22-Dec-09	72.16
15-Dec-09	72.16
8-Dec-09	74.05
1-Dec-09	74.05
24-Nov-09	73.62
17-Nov-09	77.32
10-Nov-09	77.32
3-Nov-09	77.35
27-Oct-09	62.51
20-Oct-09	61.23
13-Oct-09	73.44
6-Oct-09	73.44
29-Sep-09	73.44
22-Sep-09	73.44
15-Sep-09	73.44
8-Sep-09	73.44
1-Sep-09	73.44
25-Aug-09	72.86
18-Aug-09	72.86
11-Aug-09	72.86
4-Aug-09	72.86
28-Jul-09	72.86
21-Jul-09	72.86
14-Jul-09	72.86
7-Jul-09	72.86
30-Jun-09	72.01
23-Jun-09	72.01
16-Jun-09	72.01
9-Jun-09	72
2-Jun-09	72.32
26-May-09	72.11
19-May-09	72.11
12-May-09	72.11
5-May-09	72.11
28-Apr-09	73
21-Apr-09	73
14-Apr-09	62.69
7-Apr-09	62.69
31-Mar-09	63.83
24-Mar-09	63.83
17-Mar-09	63.83
10-Mar-09	62.32
3-Mar-09	70.73
24-Feb-09	70.73
17-Feb-09	70.73
10-Feb-09	78.76
3-Feb-09	89.43
27-Jan-09	88.21
20-Jan-09	88.21
13-Jan-09	88.21
6-Jan-09	88.21
30-Dec-08	88.21
23-Dec-08	88.79
16-Dec-08	93.97
9-Dec-08	87.41
2-Dec-08	86.02
25-Nov-08	86.02
18-Nov-08	86.02
11-Nov-08	86.02
4-Nov-08	90.51
28-Oct-08	93.55
21-Oct-08	93.48
14-Oct-08	95.81
7-Oct-08	95.9
30-Sep-08	95.9
23-Sep-08	95.9
16-Sep-08	95.9
9-Sep-08	95.9
2-Sep-08	98.43
26-Aug-08	97.69
19-Aug-08	96.88
12-Aug-08	88.88
5-Aug-08	88.88
29-Jul-08	88.88
22-Jul-08	88.88
15-Jul-08	89.2
8-Jul-08	89.2
1-Jul-08	89.2
24-Jun-08	89.2
17-Jun-08	89.2
10-Jun-08	63.74
3-Jun-08	63.74
27-May-08	47.51
20-May-08	48.43
13-May-08	48.43
6-May-08	48.43
29-Apr-08	45.66
22-Apr-08	39.61
15-Apr-08	39.61
8-Apr-08	39.61
1-Apr-08	31.58
25-Mar-08	30.08
18-Mar-08	34.28
11-Mar-08	34.28
4-Mar-08	34.28
26-Feb-08	34.28
19-Feb-08	37.46
12-Feb-08	37.37
5-Feb-08	36.63
29-Jan-08	41.6
22-Jan-08	79.85
15-Jan-08	79.77
8-Jan-08	79.77
1-Jan-08	84.7
25-Dec-07	84.7
18-Dec-07	84.7
11-Dec-07	84.83
4-Dec-07	84.83
27-Nov-07	84.83
20-Nov-07	84.83
13-Nov-07	84.83
6-Nov-07	84.83
30-Oct-07	84.83
23-Oct-07	86.09
16-Oct-07	92.56
9-Oct-07	92.56
2-Oct-07	92.56
25-Sep-07	92.56
18-Sep-07	92.56
11-Sep-07	92.56
4-Sep-07	92.56
28-Aug-07	92.56
21-Aug-07	92.32
14-Aug-07	92.32
7-Aug-07	92.32
31-Jul-07	92.32
24-Jul-07	92.32
17-Jul-07	92.32
10-Jul-07	92.32
3-Jul-07	92.32
26-Jun-07	92.32
19-Jun-07	92.32
12-Jun-07	92.32
5-Jun-07	92.32
29-May-07	92.32
22-May-07	92.06
15-May-07	89.76
8-May-07	82.35
1-May-07	82.35
24-Apr-07	82.43
17-Apr-07	87.3
10-Apr-07	82.27
3-Apr-07	63.02
27-Mar-07	60.74
20-Mar-07	59.6
13-Mar-07	59.37
6-Mar-07	54.02
27-Feb-07	54.02
20-Feb-07	59.19
13-Feb-07	54.44
6-Feb-07	61.27
30-Jan-07	61.27
23-Jan-07	46.97
16-Jan-07	27.15
9-Jan-07	27.15
2-Jan-07	26.77
26-Dec-06	11.64
19-Dec-06	11.64
12-Dec-06	0.79
5-Dec-06	0.79
28-Nov-06	0.82
21-Nov-06	0.82
14-Nov-06	0.82
7-Nov-06	0.82
31-Oct-06	0.82
24-Oct-06	0.82
17-Oct-06	0.82
10-Oct-06	0.82
3-Oct-06	0.82
26-Sep-06	0.82
19-Sep-06	0.82
12-Sep-06	2.62
5-Sep-06	2.62
29-Aug-06	0.05
22-Aug-06	0.06
15-Aug-06	0.16
8-Aug-06	0.12
1-Aug-06	0.12
25-Jul-06	0.12
18-Jul-06	0.12
11-Jul-06	0.12
4-Jul-06	0.07
27-Jun-06	0.07
20-Jun-06	0.07
13-Jun-06	0.07
6-Jun-06	0.07
30-May-06	0.07
23-May-06	0.07
16-May-06	0.07
9-May-06	0
2-May-06	0.01
25-Apr-06	0.16
18-Apr-06	0.16
11-Apr-06	0.16
4-Apr-06	0.16
28-Mar-06	0.55
21-Mar-06	0.55
14-Mar-06	0.52
7-Mar-06	0.52
28-Feb-06	0.48
21-Feb-06	0
14-Feb-06	0
7-Feb-06	0
31-Jan-06	0
24-Jan-06	0
17-Jan-06	0
10-Jan-06	0
3-Jan-06	0
27-Dec-05	0
20-Dec-05	0
13-Dec-05	0
6-Dec-05	0
29-Nov-05	0
22-Nov-05	0
15-Nov-05	0
8-Nov-05	0
1-Nov-05	0
25-Oct-05	0
18-Oct-05	0
11-Oct-05	0
4-Oct-05	0
27-Sep-05	0
20-Sep-05	0.05
13-Sep-05	0.06
6-Sep-05	0.06
30-Aug-05	0.06
23-Aug-05	0.06
16-Aug-05	0.06
9-Aug-05	0.06
2-Aug-05	0.06
26-Jul-05	0.06
19-Jul-05	0.06
12-Jul-05	0.06
5-Jul-05	0.06
28-Jun-05	0.06
21-Jun-05	0.06
14-Jun-05	0.06
7-Jun-05	0.06
31-May-05	0.06
24-May-05	0.06
17-May-05	0.06
10-May-05	1.09
3-May-05	2.09
26-Apr-05	2.09
19-Apr-05	2.09
12-Apr-05	2.64
5-Apr-05	2.63
29-Mar-05	2.87
22-Mar-05	3
15-Mar-05	3
8-Mar-05	1.3
1-Mar-05	1.22
22-Feb-05	1.22
15-Feb-05	1.22
8-Feb-05	4.1
1-Feb-05	4.1
25-Jan-05	4.1
18-Jan-05	4.1
11-Jan-05	4.1
4-Jan-05	7.85
28-Dec-04	28.85
21-Dec-04	29.37
14-Dec-04	29.37
7-Dec-04	29.37
30-Nov-04	30.21
23-Nov-04	31.28
16-Nov-04	31.28
9-Nov-04	31.28
2-Nov-04	31.28
26-Oct-04	40.55
19-Oct-04	55.82
12-Oct-04	61.08
5-Oct-04	61.08
28-Sep-04	61.08
21-Sep-04	61.08
14-Sep-04	61.08
7-Sep-04	61.29
31-Aug-04	61.29
24-Aug-04	60.59
17-Aug-04	60.59
10-Aug-04	60.59
3-Aug-04	52.05
27-Jul-04	52.05
20-Jul-04	52.02
13-Jul-04	52.05
6-Jul-04	52.05
29-Jun-04	50.9
22-Jun-04	50.66
15-Jun-04	50.41
8-Jun-04	50.41
1-Jun-04	50.36
25-May-04	48.33
18-May-04	46.06
11-May-04	46.06
4-May-04	46.06
27-Apr-04	22.67
20-Apr-04	19.01
13-Apr-04	19.01
6-Apr-04	16.45
30-Mar-04	17.16
23-Mar-04	17.16
16-Mar-04	17.16
9-Mar-04	17.16
2-Mar-04	17.16
24-Feb-04	17.2
17-Feb-04	17.2
10-Feb-04	17.2
3-Feb-04	17.3
27-Jan-04	17.3
20-Jan-04	18.38
13-Jan-04	23.23
6-Jan-04	20.28
30-Dec-03	20.28
23-Dec-03	32.06
16-Dec-03	30.57
9-Dec-03	29.64
2-Dec-03	30.7
25-Nov-03	30.69
18-Nov-03	32.1
11-Nov-03	31.34
4-Nov-03	33.06
28-Oct-03	42.17
21-Oct-03	26.49
14-Oct-03	23.96
7-Oct-03	25.28
30-Sep-03	23.86
23-Sep-03	25.47
16-Sep-03	24.9
9-Sep-03	27.52
2-Sep-03	30.54
26-Aug-03	24.01
19-Aug-03	24.08
12-Aug-03	24.75
5-Aug-03	25.72
29-Jul-03	24.76
22-Jul-03	26.04
15-Jul-03	25.28
8-Jul-03	25.72
1-Jul-03	25.06
24-Jun-03	25.23
17-Jun-03	25.85
10-Jun-03	25.72
3-Jun-03	26.16
27-May-03	25.13
20-May-03	25.01
13-May-03	25.47
6-May-03	30.12
29-Apr-03	29.46
22-Apr-03	30.85
15-Apr-03	29
8-Apr-03	32.74
1-Apr-03	32.57
25-Mar-03	32.1
18-Mar-03	32.9
11-Mar-03	33.71
4-Mar-03	30.65
25-Feb-03	34.46
18-Feb-03	34.47
11-Feb-03	38.83
4-Feb-03	31.78
28-Jan-03	29.56
21-Jan-03	29.7
14-Jan-03	30.81
7-Jan-03	32.14
31-Dec-02	32.23
24-Dec-02	33.12
17-Dec-02	35.75
10-Dec-02	51.74
3-Dec-02	35.26
26-Nov-02	36.15
19-Nov-02	35.87
12-Nov-02	35.19
5-Nov-02	75.48
29-Oct-02	72.23
22-Oct-02	72.01
15-Oct-02	70.48
8-Oct-02	70.73
1-Oct-02	51.75
24-Sep-02	56.14
17-Sep-02	55.61
10-Sep-02	55.24
3-Sep-02	56.36
27-Aug-02	56.24
20-Aug-02	56.57
13-Aug-02	56.66
6-Aug-02	56.22
30-Jul-02	55.35
23-Jul-02	55.3
16-Jul-02	51.55
9-Jul-02	53.57
2-Jul-02	53.31
25-Jun-02	52.99
18-Jun-02	48.22
11-Jun-02	42.35
4-Jun-02	42.05
28-May-02	41.79
21-May-02	36.83
14-May-02	37.31
7-May-02	37.13
30-Apr-02	37.89
23-Apr-02	37.98
16-Apr-02	38.23
9-Apr-02	35.6
2-Apr-02	26.77
26-Mar-02	22.32
19-Mar-02	22.3
12-Mar-02	21.95
5-Mar-02	0.29
26-Feb-02	0.17
19-Feb-02	0.07
12-Feb-02	0.28
5-Feb-02	0.16
29-Jan-02	0.15
22-Jan-02	0.11
15-Jan-02	0.27
8-Jan-02	0.11
1-Jan-02	11.08
25-Dec-01	18.81
18-Dec-01	30.49
11-Dec-01	30.49
4-Dec-01	34.41
27-Nov-01	45.1
20-Nov-01	47.53
13-Nov-01	47.53
6-Nov-01	47.53
30-Oct-01	47.53
23-Oct-01	47.53
16-Oct-01	47.53
9-Oct-01	47.53
2-Oct-01	47.53
25-Sep-01	47.53
18-Sep-01	47.53
11-Sep-01	47.53
4-Sep-01	35.87
28-Aug-01	35.87
21-Aug-01	32.15
14-Aug-01	27.19
7-Aug-01	27.19
31-Jul-01	27.19
24-Jul-01	27.19
17-Jul-01	27.19
10-Jul-01	26.69
3-Jul-01	27.59
26-Jun-01	27.59
19-Jun-01	25.96
12-Jun-01	24.34
5-Jun-01	22.39
29-May-01	17.23
22-May-01	17.23
15-May-01	17.23
8-May-01	14.71
1-May-01	14.71
24-Apr-01	14.71
17-Apr-01	14.71
10-Apr-01	13.11
3-Apr-01	12.93
27-Mar-01	4.65
20-Mar-01	4.65
13-Mar-01	2.97
6-Mar-01	2.97
27-Feb-01	2.95
20-Feb-01	2.28
13-Feb-01	2.68
6-Feb-01	0
30-Jan-01	0
23-Jan-01	0
16-Jan-01	0
9-Jan-01	0
2-Jan-01	0
26-Dec-00	0
19-Dec-00	0
12-Dec-00	0
5-Dec-00	0
28-Nov-00	0
21-Nov-00	0
14-Nov-00	0
7-Nov-00	0
31-Oct-00	0
24-Oct-00	0
17-Oct-00	0
10-Oct-00	0
3-Oct-00	0
26-Sep-00	0
19-Sep-00	0
12-Sep-00	0
5-Sep-00	0
29-Aug-00	0
22-Aug-00	0.99
15-Aug-00	1.72
8-Aug-00	0
1-Aug-00	0
25-Jul-00	0
18-Jul-00	0
11-Jul-00	0
4-Jul-00	0
27-Jun-00	0
20-Jun-00	0
13-Jun-00	0
6-Jun-00	0
30-May-00	0
23-May-00	0
16-May-00	0
9-May-00	0
2-May-00	0
25-Apr-00	0
18-Apr-00	0
11-Apr-00	0
4-Apr-00	0
28-Mar-00	0
21-Mar-00	0
14-Mar-00	0
7-Mar-00	0.03
29-Feb-00	0.05
22-Feb-00	0
15-Feb-00	0
8-Feb-00	0
1-Feb-00	0
25-Jan-00	0
18-Jan-00	0
11-Jan-00	0
4-Jan-00	0
